17:27:45.166086100,	17:27:45.171512300,	PT0.0054262S
17:27:45.265987100,	17:27:45.271472800,	PT0.0054857S
17:27:49.668231200,	17:27:49.672779700,	PT0.0045485S
17:27:52.666618900,	17:27:52.671135900,	PT0.004517S
request made,request scheduled,time elapsed
17:31:05.643782300,	17:31:05.650258100,	PT0.0064758S
17:31:05.744328900,	17:31:05.749333800,	PT0.0050049S
17:31:10.142549400,	17:31:10.147520400,	PT0.004971S
17:31:13.142539100,	17:31:13.147543700,	PT0.0050046S
request made,request scheduled,time elapsed
17:34:38.118206200,	17:34:38.125740600,	PT0.0075344S
17:34:38.218526500,	17:34:38.225020200,	PT0.0064937S
17:34:42.619463500,	17:34:42.626794300,	PT0.0073308S
17:34:45.621688100,	17:34:45.625683900,	PT0.0039958S
request made,request scheduled,time elapsed
