17:27:45.166086100,	17:27:48.207426800,	PT3.0413407S
17:27:45.265987100,	17:27:51.315396100,	PT6.049409S
17:27:52.666618900,	17:28:02.945417800,	PT10.2787989S
request scheduled,request serviced,time elapsed
17:31:05.643782300,	17:31:08.688068500,	PT3.0442862S
17:31:05.744328900,	17:31:11.786537300,	PT6.0422084S
17:31:13.142539100,	17:31:23.442439700,	PT10.2999006S
request scheduled,request serviced,time elapsed
17:34:38.118206200,	17:34:41.163008300,	PT3.0448021S
17:34:38.218526500,	17:34:44.264483300,	PT6.0459568S
17:34:45.621688100,	17:34:55.902961700,	PT10.2812736S
request scheduled,request serviced,time elapsed
